NumericColumn1,NumericColumn2,CategoricalColumn,BooleanColumn,ConstantColumn,DateColumn
51.0,11.359569483159351,A,False,ConstantValue,2023-01-01
92.0,71.55467376837845,C,True,ConstantValue,2023-01-02
14.0,47.001076516390945,C,True,ConstantValue,2023-01-03
71.0,35.47498936458656,B,False,ConstantValue,2023-01-04
60.0,11.53461314386988,A,False,ConstantValue,2023-01-05
20.0,25.46191990031525,C,False,ConstantValue,2023-01-06
,26.118450198485558,B,False,ConstantValue,2023-01-07
86.0,54.77547601988969,C,False,ConstantValue,2023-01-08
74.0,50.02778342431383,C,False,ConstantValue,2023-01-09
74.0,64.49103028050345,A,False,ConstantValue,2023-01-10
87.0,21.734029547303628,C,False,ConstantValue,2023-01-11
99.0,35.840727370746,A,True,ConstantValue,2023-01-12
23.0,22.308898488666436,N,False,ConstantValue,2023-01-13
,59.447419388583874,B,False,ConstantValue,2023-01-14
,38.05010066703265,C,True,ConstantValue,2023-01-15
52.0,23.974619753858633,A,False,ConstantValue,2023-01-16
1.0,47.28698124273544,A,True,ConstantValue,2023-01-17
87.0,12.529101351120197,B,True,ConstantValue,2023-01-18
29.0,65.0800533937559,C,False,ConstantValue,2023-01-19
37.0,39.64406784236081,C,True,ConstantValue,2023-01-20
1.0,36.10573529291757,B,True,ConstantValue,2023-01-21
63.0,70.54749450343786,C,True,ConstantValue,2023-01-22
59.0,57.62722533149607,C,True,ConstantValue,2023-01-23
20.0,31.659841818618133,A,False,ConstantValue,2023-01-24
,47.46476954146988,C,True,ConstantValue,2023-01-25
75.0,44.25006004967337,C,False,ConstantValue,2023-01-26
57.0,72.78394717783782,B,True,ConstantValue,2023-01-27
21.0,65.22579339434421,B,True,ConstantValue,2023-01-28
88.0,58.926343136902275,N,True,ConstantValue,2023-01-29
48.0,45.47205017881237,C,True,ConstantValue,2023-01-30
90.0,48.521475535017366,C,False,ConstantValue,2023-01-31
58.0,73.04854391071615,C,False,ConstantValue,2023-02-01
41.0,49.83581925009717,A,True,ConstantValue,2023-02-02
91.0,28.38474699506081,A,True,ConstantValue,2023-02-03
59.0,29.69852316962454,B,False,ConstantValue,2023-02-04
79.0,21.20929765128256,N,True,ConstantValue,2023-02-05
14.0,11.513239156829366,C,True,ConstantValue,2023-02-06
61.0,37.93641594977275,C,True,ConstantValue,2023-02-07
61.0,36.08832237777692,A,False,ConstantValue,2023-02-08
46.0,29.51803372172887,C,False,ConstantValue,2023-02-09
,11.412372511937473,C,False,ConstantValue,2023-02-10
50.0,23.384987784954575,A,True,ConstantValue,2023-02-11
54.0,56.594958538112515,A,True,ConstantValue,2023-02-12
63.0,61.70337502642212,C,False,ConstantValue,2023-02-13
2.0,49.76620636580954,C,False,ConstantValue,2023-02-14
50.0,70.524296927665,C,False,ConstantValue,2023-02-15
6.0,52.689791252526,B,False,ConstantValue,2023-02-16
20.0,69.789386975237,B,True,ConstantValue,2023-02-17
72.0,65.582499840779,B,False,ConstantValue,2023-02-18
38.0,39.62440368415558,A,True,ConstantValue,2023-02-19
